Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,129.063095,129.942642,128.843216,129.464630,105.346336,3293436
2020-01-03,127.695984,128.929260,127.686424,128.432129,104.506195,2482890
2020-01-06,127.552582,128.336517,127.342255,128.202682,104.319489,2537073
2020-01-07,127.810707,129.024857,127.533463,128.288712,104.389488,3232977
2020-01-08,128.594650,129.885284,128.030594,129.359467,105.260765,4545916
2020-01-09,129.770554,130.774384,129.359467,130.726578,106.373199,3902208
2020-01-10,130.975143,131.806885,130.315491,130.678772,106.334297,3405148
2020-01-13,129.521988,130.630981,129.130020,130.592728,106.264297,3693426
2020-01-14,130.286804,131.108994,129.588913,129.847031,105.657501,3850326
2020-01-15,130.019119,131.988525,129.741867,130.611862,106.279839,4232011
2020-01-16,131.281067,132.112808,130.984711,131.912048,107.337814,4519661
2020-01-17,130.535370,132.246658,130.172089,132.227539,107.594536,5881972
2020-01-21,131.749527,133.221802,131.548752,133.049713,108.263535,7577329
2020-01-22,137.017212,139.378586,136.281067,137.562134,111.935333,17228038
2020-01-23,137.858505,138.059280,135.898666,136.587006,111.141876,5918059
2020-01-24,137.084137,137.590820,134.282990,134.378586,109.344864,5836889
2020-01-27,132.409180,133.910141,132.026764,132.523895,107.835686,4358264
2020-01-28,133.365204,134.292542,132.648178,133.412994,108.559143,3610374
2020-01-29,133.049713,133.441681,131.548752,131.634796,107.112213,3194275
2020-01-30,130.745697,130.946457,129.034424,130.755264,106.396530,5290563
2020-01-31,136.615677,137.715103,134.598465,137.409180,111.810883,19868352
2020-02-03,137.906311,140.803055,137.571701,139.837479,113.786804,9295488
2020-02-04,141.281067,142.810699,140.420654,142.552582,115.996094,5879566
2020-02-05,143.604202,150.516251,143.546844,149.455063,121.612709,15048593
2020-02-06,149.923523,151.768646,148.585083,149.866150,121.947189,8786923
2020-02-07,147.753342,148.699814,146.195023,146.663483,120.587349,6718876
2020-02-10,146.242828,147.648178,144.913956,147.638626,121.389130,5480831
2020-02-11,148.298279,148.393875,146.013382,146.730408,120.642395,4011515
2020-02-12,146.988525,148.757172,146.768646,148.479919,122.080856,4641939
2020-02-13,147.581268,148.021027,146.663483,147.523895,121.294800,3996452
2020-02-14,147.629059,147.762909,143.183563,144.072662,118.457176,6379763
2020-02-18,143.202682,144.722748,143.059280,144.455063,118.771584,3496778
2020-02-19,144.875717,145.210327,143.699814,144.225616,118.582932,2858613
2020-02-20,144.177826,144.952194,142.934998,144.569794,118.865906,3013003
2020-02-21,144.397705,144.397705,142.294449,143.250473,117.781174,3699597
2020-02-24,139.110901,141.539200,138.986618,139.990433,115.100746,5703210
2020-02-25,140.066925,140.602295,135.047806,135.478012,111.390610,6497229
2020-02-26,136.615677,137.724670,133.460800,133.604202,109.849976,5656663
2020-02-27,131.204590,132.590820,127.160614,127.256210,104.630615,8808471
2020-02-28,124.263863,125.325050,120.803062,124.426384,102.303932,13607832
2020-03-02,125.000000,128.527725,122.323135,128.393875,105.566002,8923844
2020-03-03,128.565964,130.114716,122.179733,123.231361,101.321358,8259321
2020-03-04,125.793503,128.374756,123.326958,128.317398,105.503120,5226234
2020-03-05,124.760994,126.472275,122.801147,123.852776,101.832291,5696725
2020-03-06,121.128105,122.686424,119.043976,122.112808,100.401688,8570192
2020-03-09,114.875717,117.026772,112.122368,112.629066,92.604118,11252345
2020-03-10,117.380501,119.388145,110.669212,119.282982,98.074989,11935592
2020-03-11,115.688339,117.189293,111.261948,112.782028,92.729874,8835039
2020-03-12,104.827919,104.971321,97.782028,98.288719,80.813423,13088284
2020-03-13,103.900574,104.359467,96.376671,103.202675,84.853699,13077197
2020-03-16,93.690247,102.686424,90.822182,94.722755,77.881462,11054128
2020-03-17,96.185471,102.676865,92.829826,101.959846,83.831841,9684182
2020-03-18,95.038239,102.227531,95.028679,98.996178,81.395081,9176035
2020-03-19,97.829826,99.130020,93.919693,95.927345,78.871887,8782739
2020-03-20,96.481834,96.548759,90.544930,91.195030,74.980965,11031639
2020-03-23,90.439774,93.441681,86.577438,90.602295,74.493599,10176952
2020-03-24,95.592735,101.376671,94.894836,100.841301,82.912155,8340699
2020-03-25,100.841301,107.533463,98.307838,101.195030,83.203003,9052084
2020-03-26,102.208412,108.173996,100.927345,107.925430,88.736763,7482561
2020-03-27,103.804970,106.596558,102.915871,103.279160,84.916580,6718458
2020-03-30,103.336517,108.470360,103.068832,107.963669,88.768204,5820467
2020-03-31,107.074570,108.804970,105.325050,106.051628,87.196114,6635092
2020-04-01,101.682602,105.086044,99.923515,100.516251,82.644905,6394093
2020-04-02,100.736137,105.468452,100.516251,105.162521,86.465088,6619820
2020-04-03,104.130020,105.229446,100.305923,101.663483,83.588173,4747585
2020-04-06,105.497131,110.544930,105.286804,109.770554,90.253845,7357773
2020-04-07,113.575523,114.311661,109.818359,109.885277,90.348145,5852684
2020-04-08,111.195030,114.684509,110.009560,114.043976,93.767464,5395896
2020-04-09,115.181641,117.514343,114.885277,116.156792,95.504601,5832705
2020-04-13,116.281075,116.443596,112.848946,115.822182,95.229492,5355206
2020-04-14,118.030594,119.674950,117.227531,118.460800,97.398994,5322780
2020-04-15,113.881454,114.904396,111.625237,113.470360,93.295815,5896616
2020-04-16,113.776291,114.483749,109.388145,110.640533,90.969131,6754650
2020-04-17,114.053535,115.095604,112.734222,114.837479,94.419876,5194436
2020-04-20,113.910133,117.456978,112.944550,115.114723,94.647835,8558058
2020-04-21,108.986618,111.998085,107.131927,111.625237,91.778763,15009054
2020-04-22,114.598473,115.038239,112.380501,114.063095,93.783188,7412479
2020-04-23,114.311661,117.619499,113.881454,116.013382,95.386711,7198154
2020-04-24,117.026772,119.502869,115.449333,119.235184,98.035690,5215251
2020-04-27,120.038239,121.405357,119.952202,120.382408,98.978943,5150295
2020-04-28,122.399620,122.562141,119.866158,120.717018,99.254066,4997893
2020-04-29,123.212234,123.623329,121.921608,123.030594,101.156281,5499450
2020-04-30,120.956024,121.673042,119.713196,120.038239,98.695961,6941047
2020-05-01,117.772469,118.040154,116.051628,116.510513,95.795448,5152073
2020-05-04,115.506691,116.606117,114.139580,116.328873,95.646103,4202723
2020-05-05,117.963669,118.852776,117.084129,117.189293,96.353554,4078772
2020-05-06,117.820267,118.594643,117.026772,117.753349,96.817314,4042372
2020-05-07,117.571701,117.839386,115.535370,115.898659,96.570366,4615580
2020-05-08,117.275337,117.810707,115.736137,117.581261,97.972359,5232615
2020-05-11,116.453156,118.021034,115.363289,117.198853,97.653717,3697924
2020-05-12,117.600380,118.852776,114.971321,114.971321,95.797699,5004587
2020-05-13,114.674950,114.713196,109.799232,110.640533,92.189140,6153409
2020-05-14,109.531548,111.940727,106.892921,111.806885,93.160988,5501332
2020-05-15,110.831741,112.227531,110.181641,111.835564,93.184883,5006470
2020-05-18,114.608032,116.978966,114.483749,116.214149,96.833244,4399162
2020-05-19,115.860420,116.797325,114.856598,115.000000,95.821571,3390191
2020-05-20,115.611855,117.084129,115.296364,116.042068,96.689873,4017372
2020-05-21,115.669212,116.367111,113.738052,113.881454,94.889580,4184941
2020-05-22,114.120461,114.216064,112.418739,113.183556,94.308067,4373117
2020-05-26,115.965584,117.227531,115.688339,116.405357,96.992569,5720888
2020-05-27,118.489487,120.296364,118.040154,120.019119,100.003677,5990965
2020-05-28,121.290634,121.386230,118.757172,119.053535,99.199097,4095404
